AcresBurned,Counties,Latitude,Longitude,Started,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure
40.0,Riverside,33.57029,-116.10815,2013-08-16T13:31:00Z,30.7,29.0,24.4,8.1,0.0,,,0.0,,,10.8,301.0,1007.9
73.0,Riverside,33.67815,-117.32281,2018-04-28T14:26:00Z,9.5,9.5,88.9,7.7,0.0,,,0.0,,,0.0,0.0,1012.9
55.0,San Bernardino,34.23000,-116.88300,2015-08-23T12:25:00Z,6.1,6.1,39.1,-6.8,,,,0.0,,,0.1,359.0,1011.8
82.0,Monterey,35.86596,-120.64584,2017-08-07T18:08:00Z,24.0,24.0,45.2,11.4,0.0,,,0.0,,,10.2,322.0,1013.8
114.0,Santa Clara,37.41896,-121.79669,2016-07-30T17:25:00Z,21.6,21.6,61.8,13.9,0.0,,,0.0,,,6.3,240.0,1009.8
40.0,Fresno,36.99182,-119.52551,2014-06-09T15:15:00Z,27.4,27.0,37.2,11.5,0.0,,,0.0,,,8.1,85.0,1006.3
27.0,Siskiyou,41.79186,-122.51388,2018-05-19T13:04:00Z,8.8,6.8,83.2,6.1,0.0,,,0.0,,,12.9,50.0,1015.0
19.0,Riverside,33.84991,-117.46136,2019-11-01T13:04:34Z,4.5,4.5,29.9,-11.6,0.0,,,0.0,,,0.0,0.0,1018.5
15.0,Calaveras,38.19906,-120.83484,2017-05-28T15:30:00Z,16.9,16.9,70.7,11.6,0.0,,,0.0,,,9.7,332.0,1017.6
85.0,Santa Clara,37.33440,-121.71752,2017-06-29T13:56:00Z,14.8,14.8,83.6,12.1,0.0,,,0.0,,,0.7,358.0,1014.3
24.0,Shasta,40.61388,-122.46777,2016-06-11T16:02:00Z,19.8,19.8,28.2,0.9,0.0,,,0.0,,44.2,25.4,351.0,1015.0
34.0,San Benito,36.85596,-121.30983,2017-07-04T13:21:00Z,12.6,12.6,96.6,12.1,0.0,,,0.0,,,0.3,348.0,1016.6
62.0,Lake,38.94599,-122.81135,2017-08-08T16:40:00Z,16.7,16.7,78.9,13.0,0.0,,,0.0,,,5.6,7.0,1013.6
69.0,Lake,39.08630,-122.78910,2016-07-19T17:16:00Z,17.5,17.5,66.5,11.2,0.0,,,0.0,,,1.8,68.0,1018.8
149.0,Los Angeles,34.41928,-118.58688,2013-05-28T11:30:00Z,15.5,15.5,76.9,11.5,0.0,,,0.0,,85.3,9.4,44.0,1009.9
45.0,Riverside,33.98850,-117.38417,2017-12-21T11:16:00Z,9.7,6.7,26.5,-8.7,0.0,,,0.0,,38.0,23.8,15.0,1016.6
30.0,Alameda,37.53303,-121.79733,2018-08-04T17:32:00Z,25.7,25.7,41.9,11.8,0.0,,,0.0,,,9.4,298.0,1013.3
35.0,Marin,38.08055,-122.77846,2017-07-12T16:15:00Z,16.3,16.3,71.4,11.1,0.0,,,0.0,,,1.8,328.0,1013.7
11.0,Shasta,40.46350,-121.77419,2018-03-27T16:20:00Z,13.0,13.0,48.7,2.5,0.0,,,0.0,,,7.7,116.0,1026.0
80.0,Yuba,39.24678,-121.32399,2019-06-24T11:57:00Z,20.2,20.2,59.8,12.2,0.0,,,0.0,,,2.4,309.0,1009.9
14.0,Yolo,38.64953,-122.01762,2018-06-01T13:31:00Z,9.0,9.0,94.0,8.1,0.0,,,0.0,,,1.0,340.0,1016.9
36.0,Lake,38.68403,-122.26015,2016-08-09T18:50:00Z,23.4,23.4,48.8,12.0,0.0,,,0.0,,,5.1,82.0,1009.9
227.0,Siskiyou,41.49297,-123.21294,2019-09-07T08:47:46Z,14.9,14.9,53.8,5.6,0.0,,,0.0,,,0.9,329.0,1018.3
52.0,San Luis Obispo,35.18978,-120.17550,2019-10-01T22:35:52Z,20.1,20.1,43.8,7.3,0.0,,,0.0,,48.2,33.9,308.0,1012.5
127.0,Glenn,39.46543,-122.65582,2018-06-01T15:20:00Z,12.6,12.6,66.7,6.5,0.0,,,0.0,,,3.5,328.0,1019.3
1503.0,San Bernardino,34.29760,-116.82600,2017-06-19T15:05:00Z,19.0,19.0,29.0,0.5,0.0,,,0.0,,,0.1,360.0,1007.7
10.0,Riverside,33.77896,-117.24091,2017-07-13T14:14:00Z,20.4,20.4,80.0,16.8,0.0,,,0.0,,,1.2,339.0,1015.7
5563.0,Mariposa,37.60464,-119.96606,2019-10-06T16:15:12Z,15.8,15.8,50.9,5.6,0.0,,,0.0,,,7.2,124.0,1018.2
60.0,Madera,37.14663,-119.91223,2018-06-15T11:46:00Z,16.5,16.5,54.3,7.2,0.0,,,0.0,,,5.1,249.0,1005.1
143.0,Butte,40.07613,-121.56858,2017-09-28T14:46:00Z,14.3,14.3,46.8,3.1,0.0,,,0.0,,,7.0,332.0,1014.4
30.0,Merced,37.21710,-121.08036,2016-04-24T11:10:00Z,11.3,11.3,92.9,10.2,0.0,,,0.0,,,3.8,45.0,1017.5
265.0,San Diego,32.63046,-116.46674,2018-06-06T09:46:00Z,8.9,8.3,86.1,6.7,0.0,,,0.0,,,5.4,40.0,1008.9
1926.0,Riverside,33.52847,-117.27316,2019-09-04T16:43:36Z,27.9,28.5,52.1,17.2,,,,0.0,,,0.0,0.0,1010.5
19.0,Siskiyou,40.70378,-122.64508,2017-06-26T12:30:00Z,16.4,16.4,73.5,11.7,0.0,,,0.0,,,7.8,205.0,1012.4
1319.0,Kern,35.76000,-118.40600,2017-09-01T14:37:00Z,23.8,23.8,54.1,14.0,0.0,,,0.0,,,8.0,329.0,1010.0
132127.0,Monterey,36.45994,-121.89938,2016-07-22T08:48:00Z,14.4,14.4,75.6,10.1,0.0,,,0.0,,,6.4,232.0,1020.6
159.0,Sonoma,38.34599,-122.65030,2013-10-04T12:25:00Z,17.8,17.8,21.5,-4.6,0.0,,,0.0,,36.9,15.1,358.0,1015.3
30274.0,Los Angeles,34.58559,-118.42318,2013-05-30T15:28:00Z,19.9,19.9,30.5,2.0,0.0,,,0.0,,,22.3,326.0,1010.0
10.0,Siskiyou,41.63237,-122.37985,2018-07-17T19:03:00Z,32.7,31.0,24.4,9.8,0.0,,,0.0,,,5.9,228.0,1016.9
193.0,Lassen,40.07274,-120.15827,2019-07-14T14:02:31Z,15.0,15.0,45.1,3.2,0.0,,,0.0,,,3.3,344.0,1014.8
10.0,Butte,39.50475,-121.33785,2017-07-12T13:55:00Z,18.5,18.5,69.3,12.7,0.0,,,0.0,,,3.3,63.0,1012.3
18.0,Fresno,36.61332,-120.71090,2017-05-28T16:16:00Z,20.9,20.9,51.3,10.5,0.0,,,0.0,,,17.7,312.0,1017.5
34.0,Alameda,37.71173,-121.55604,2018-07-25T16:05:00Z,21.8,21.8,56.0,12.6,0.0,,,0.0,,,10.5,281.0,1017.5
75.0,Lake,39.10041,-122.49655,2019-11-05T06:52:14Z,9.8,9.8,64.4,3.4,0.0,,,0.0,,,0.0,0.0,1016.1
2060.0,Tulare,36.20800,-118.44400,2013-08-24T14:31:00Z,16.0,16.0,38.9,2.0,,,,0.0,,,6.5,160.0,
289.0,San Luis Obispo,35.79069,-120.73102,2019-10-09T06:52:14Z,16.3,16.3,52.5,6.6,0.0,,,0.0,,9.4,8.7,274.0,1010.5
10.0,Riverside,33.45014,-117.22215,2018-06-02T15:53:00Z,16.8,16.8,71.0,11.5,0.0,,,0.0,,,2.1,311.0,1015.6
260.0,San Luis Obispo,35.33916,-120.71488,2018-06-26T11:16:00Z,12.9,12.9,94.7,12.1,0.0,,,0.0,,,4.5,324.0,1014.0
20.0,San Bernardino,34.25858,-117.44150,2016-09-03T21:51:00Z,26.9,26.7,38.1,11.5,0.0,,,0.0,,,18.1,273.0,1009.5
50.0,Sacramento,38.62206,-121.11409,2019-08-02T14:45:00Z,18.4,18.4,57.0,9.7,0.0,,,0.0,,,7.9,104.0,1015.9
1816.0,San Luis Obispo,35.86949,-120.57894,2017-07-08T18:30:00Z,35.9,33.4,14.1,4.4,0.0,,,0.0,,,17.7,337.0,1011.6
27.0,Riverside,33.82165,-116.96079,2017-06-03T12:09:00Z,16.9,16.9,74.5,12.3,0.0,,,0.0,,,3.2,350.0,1009.9
150.0,San Diego,32.76765,-116.79603,2019-07-28T19:51:55Z,27.8,28.6,54.0,17.7,0.0,,,0.0,,,13.2,279.0,1014.5
15.0,Riverside,33.71126,-116.16406,2018-04-15T04:38:00Z,18.4,18.4,28.3,-0.3,0.0,,,0.0,,,5.5,256.0,1016.6
520.0,Riverside,33.48530,-117.04372,2019-09-14T17:53:00Z,30.2,28.7,27.6,9.4,,,,0.0,,,5.9,218.0,1013.1
0.0,Tulare,36.51912,-119.50606,2017-06-23T22:32:00Z,39.4,41.0,27.5,17.3,0.0,,,0.0,,,13.3,340.0,1008.7
8094.0,Mariposa,37.64400,-119.61800,2017-08-01T08:45:00Z,21.3,21.3,31.3,3.6,0.0,,,0.0,,,4.2,328.0,1017.3
5332.0,Tehama,40.10900,-122.78900,2019-09-05T19:59:46Z,31.7,30.3,28.5,11.2,0.0,,,0.0,,,3.9,254.0,1012.1
115.0,Mariposa,37.70723,-120.19916,2018-06-18T12:30:00Z,10.8,10.8,100.0,11.4,0.0,,,0.0,,,6.7,296.0,1014.7
100.0,Solano,38.43658,-121.97233,2017-10-02T09:37:00Z,19.8,19.8,25.2,-0.7,0.0,,,0.0,,53.8,40.1,348.0,1010.4
131.0,Ventura,34.36611,-118.96000,2019-07-14T11:45:00Z,17.0,17.0,91.2,15.5,0.0,,,0.0,,,2.9,255.0,1014.4
184.0,Kern,35.30910,-118.70100,2017-10-15T17:11:00Z,18.2,18.2,19.4,-5.5,0.0,,,0.0,,42.5,17.9,88.0,1021.7
10.0,Riverside,33.87107,-116.88097,2017-06-04T16:48:00Z,25.5,25.5,48.9,14.0,0.0,,,0.0,,,5.5,360.0,1010.5
30.0,Humboldt,40.27582,-123.64281,2017-08-03T16:41:00Z,13.3,13.3,97.8,13.0,,,,0.0,,11.2,8.3,346.0,1014.8
63.0,Shasta,40.74119,-122.64963,2018-07-20T13:26:00Z,18.5,18.5,53.7,8.9,0.0,,,0.0,,,4.0,0.0,1010.0
210.0,Santa Clara,37.21638,-121.70768,2019-06-09T14:29:00Z,16.1,16.1,58.9,8.1,0.0,,,0.0,,,2.1,353.0,1015.4
156.0,San Bernardino,33.99753,-117.76977,2019-07-28T13:20:11Z,19.6,19.6,82.5,16.6,0.0,,,0.0,,,1.2,319.0,1013.4
41.0,Los Angeles,34.10446,-118.70294,2017-06-29T15:45:00Z,17.7,17.7,79.1,14.0,0.0,,,0.0,,,6.4,132.0,1013.2
130.0,San Diego,32.60010,-116.76997,2017-09-01T04:20:00Z,23.1,23.1,69.4,17.2,0.0,,,0.0,,,3.3,17.0,1007.7
30.0,Santa Clara,37.33563,-121.75815,2018-09-23T16:23:00Z,15.3,15.3,70.0,9.9,0.0,,,0.0,,,0.8,345.0,1013.2
51.0,Shasta,40.82400,-121.90215,2018-07-24T15:24:00Z,25.3,25.3,60.7,17.2,0.0,,,0.0,,,1.0,0.0,1016.9
14.0,Butte,39.86290,-121.62680,2017-07-02T13:43:00Z,21.0,21.0,70.9,15.5,0.0,,,0.0,,,7.6,61.0,1010.4
1749.0,Stanislaus,38.12000,-119.94100,2017-09-03T16:23:00Z,23.1,23.1,37.2,7.7,0.0,,,0.0,,,1.5,42.0,1019.0
128.0,Modoc,41.90900,-120.30600,2019-07-17T16:13:41Z,17.9,17.9,55.3,8.9,0.0,,,0.0,,,5.8,0.0,1014.8
97.0,San Diego,33.05512,-116.74251,2019-10-25T10:52:04Z,23.5,23.5,7.9,-12.8,0.0,,,0.0,,38.9,22.4,77.0,1014.0
111.0,Fresno,36.93332,-119.43376,2017-08-26T14:31:00Z,21.6,21.6,68.8,15.7,0.0,,,0.0,,,0.0,0.0,1011.7
360.0,Tehama,40.30594,-122.12950,2016-09-13T23:10:00Z,24.0,24.0,37.0,8.4,0.0,,,0.0,,,22.3,172.0,1011.2
65.0,Placer,39.11536,-120.76088,2019-05-10T14:14:00Z,10.4,10.4,39.4,-2.8,0.0,,,0.0,,50.0,7.5,306.0,1006.1
31.0,Calaveras,37.96536,-120.69636,2013-07-22T12:34:00Z,18.0,18.0,67.6,11.9,0.0,,,0.0,,,14.6,312.0,1010.6
426.0,El Dorado,38.84800,-120.28700,2017-10-13T13:16:00Z,-6.4,-6.4,64.7,-11.9,0.0,,,0.0,,,4.8,170.0,1021.4
195.0,Tehama,39.96131,-122.33088,2013-07-19T13:32:00Z,18.8,18.8,49.0,7.9,0.0,,,0.0,,,6.5,5.0,1011.6
35.0,Shasta,40.95673,-121.60020,2018-07-29T16:22:00Z,22.6,22.6,56.7,13.6,0.0,,,0.0,,,0.0,0.0,1016.2
448.0,San Diego,32.57556,-117.02667,2019-08-01T14:53:15Z,17.5,17.5,92.4,16.2,0.0,,,0.0,,,5.7,56.0,1015.6
23.0,Tehama,40.20183,-122.29388,2018-06-01T16:07:00Z,19.3,19.3,45.3,7.2,0.0,,,0.0,,,20.2,340.0,1018.6
338.0,Kern,34.92907,-118.92670,2017-08-10T14:32:00Z,21.0,21.0,44.0,8.3,0.0,,,0.0,,,13.5,328.0,1013.6
114.0,Calaveras,38.05200,-120.55770,2015-08-13T16:15:00Z,27.2,26.4,26.7,6.4,0.0,,,0.0,,,1.8,317.0,1016.4
4736.0,Trinity,40.17598,-123.36882,2017-08-07T22:30:00Z,19.0,19.0,72.8,14.0,,,,0.0,,,25.9,310.0,
33.0,San Bernardino,34.17711,-117.15381,2018-06-30T12:12:00Z,11.5,11.5,79.0,8.0,0.0,,,0.0,,,3.8,71.0,1012.5
147.0,San Joaquin,37.62215,-121.36665,2016-08-20T08:35:00Z,19.4,19.4,58.8,11.2,0.0,,,0.0,,,10.5,336.0,1011.8
850.0,Butte,39.68710,-121.57100,2016-09-05T16:28:00Z,17.9,17.9,57.2,9.3,0.0,,,0.0,,,10.5,156.0,1010.0
26.0,Tulare,35.82633,-118.98210,2018-05-18T11:00:00Z,13.7,13.7,66.4,7.5,0.0,,,0.0,,,7.4,104.0,1014.0
103.0,Tehama,40.31759,-122.21032,2018-05-18T16:37:00Z,20.8,20.8,62.1,13.3,0.0,,,0.0,,,7.7,52.0,1013.2
50.0,San Mateo,37.41591,-122.30010,2017-09-11T19:41:00Z,27.9,27.9,45.2,14.9,0.0,,,0.0,,,12.9,2.0,1012.2
28.0,San Diego,33.25435,-117.15847,2016-11-13T11:14:00Z,15.7,15.7,47.3,4.5,0.0,,,0.0,,,2.0,4.0,1017.1
2056.0,San Diego,32.65597,-116.80527,2017-05-20T23:19:00Z,27.9,27.0,30.6,9.0,0.0,,,0.0,,,18.9,294.0,1009.3
2883.0,Inyo,36.67340,-118.21881,2018-07-08T13:36:00Z,18.4,18.4,46.6,6.7,0.0,,,0.0,,,13.0,310.0,1012.8
100.0,Tuolumne,37.91529,-120.33313,2013-06-02T13:30:00Z,15.5,15.5,66.3,9.3,0.0,,,0.0,,,1.2,6.0,1005.7
25.0,Madera,37.02081,-119.95136,2017-06-18T14:04:00Z,25.1,25.1,60.2,16.8,0.0,,,0.0,,,2.0,24.0,1008.2
40.0,Solano,38.10290,-122.15780,2015-07-10T13:36:00Z,16.1,16.1,82.2,13.0,0.0,,,0.0,,,13.5,240.0,1011.4
86.0,San Luis Obispo,35.70821,-120.82266,2016-06-27T12:07:00Z,16.5,16.5,53.3,7.0,0.0,,,0.0,,,5.4,25.0,1013.9
7194.0,Los Angeles,34.22957,-118.26740,2017-09-01T13:26:00Z,25.0,25.0,67.0,18.4,0.0,,,0.0,,,0.8,317.0,1007.3
14.0,Santa Barbara,34.60536,-120.41487,2017-12-14T12:59:00Z,3.4,0.9,87.4,1.5,,,,0.0,,,9.4,110.0,1014.9
20.0,Riverside,33.69056,-116.95389,2019-07-11T16:27:17Z,25.7,25.7,40.6,11.3,0.0,,,0.0,,,3.5,341.0,1015.1
2225.0,Monterey,35.84778,-120.34306,2018-08-06T12:59:00Z,14.1,14.1,61.9,6.9,0.0,,,0.0,,,6.5,352.0,1013.4
200.0,San Bernardino,34.20000,-117.41700,2013-09-24T15:51:00Z,19.5,19.5,44.0,6.9,0.0,,,0.0,,,2.4,25.0,1012.4
91.0,Madera,37.19270,-119.79170,2013-05-19T15:07:00Z,17.5,17.5,54.8,8.3,0.0,,,0.0,,37.1,19.0,307.0,1017.7
140.0,Solano,38.07205,-122.22463,2019-10-27T11:52:15Z,15.2,15.2,25.9,-4.3,0.0,,,0.0,,61.2,28.6,360.0,1006.7
12.0,San Bernardino,34.17179,-117.35606,2018-07-13T14:32:00Z,21.7,21.7,73.8,16.8,0.0,,,0.0,,,0.0,0.0,1014.8
80.0,Contra Costa,37.53590,-121.51180,2014-07-11T21:57:00Z,25.6,25.6,44.9,12.7,0.0,,,0.0,,,21.1,291.0,1015.2
202.0,Stanislaus,37.94475,-120.84372,2019-07-15T10:49:00Z,21.9,21.9,45.8,9.7,0.0,,,0.0,,,6.2,353.0,1013.6
31.0,Shasta,40.62693,-122.23449,2018-07-08T14:41:00Z,17.8,17.8,49.8,7.2,0.0,,,0.0,,,1.0,3.0,1012.8
10.0,Mendocino,39.61378,-123.45878,2019-10-04T18:38:09Z,16.2,16.2,38.9,2.2,0.0,,,0.0,,20.5,8.3,33.0,1022.0
170.0,San Bernardino,34.41204,-117.03031,2017-07-23T15:53:00Z,21.6,21.6,44.6,9.0,0.0,,,0.0,,,4.3,309.0,1009.7
87.0,Sacramento,38.51777,-121.10364,2016-07-10T15:30:00Z,14.5,14.5,66.7,8.4,0.0,,,0.0,,,6.7,13.0,1017.4
11.0,Tehama,40.31419,-122.07006,2019-10-07T11:03:29.963Z,10.7,10.7,53.7,1.7,0.0,,,0.0,,,8.5,345.0,1015.5
